# language = de
# newspaper = NZZ
# date = 1848-04-08
# document_id = NZZ-1848-04-08-a-p0001
# segment_iiif_link = _
chweiz	B-loc	O	B-loc.adm.nat	O	O	O	Q39	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|EOS

# segment_iiif_link = _
*	O	O	O	O	O	O	_	_	_
Im	O	O	O	O	O	O	_	_	_
Verfassungsfreund	O	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
4	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
April	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
kurzer	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
fulminanter	O	O	O	O	O	O	_	_	_
Artikel	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
lesen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welcher	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
eidg	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Verfassungsrath	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
verlangt	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Revision	O	O	O	O	O	O	_	_	_
durch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Tagsatzung	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
keinen	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
nationalen	O	O	O	O	O	O	_	_	_
Ideen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
erheben	O	O	O	O	O	O	_	_	_
vermöge	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
indem	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
weder	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
zentrale	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-5
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#trale	O	O	O	O	O	O	_	_	_|Commented
Militärinstruktion	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
